File selected,Probability for Lucila,Probability for Mosca Domestica,Probability for Piofila,User Name,Start Time,End Time
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:06:20.517,2024-02-01 11:06:20.558
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:12:35.783,2024-02-01 11:12:35.822
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:13:34.314,2024-02-01 11:13:34.353
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:14:09.877,2024-02-01 11:14:09.924
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:14:42.485,2024-02-01 11:14:42.525
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:16:28.673,2024-02-01 11:16:28.715
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (16).png,0.0000,1.0000,0.0000,simon,2024-02-01 11:16:54.642,2024-02-01 11:16:54.669
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Dataset\MoscaDomestica\mosca domestica 1 (1).png,0.0000,1.0000,0.0000,simon,2024-02-01 15:19:05.080,2024-02-01 15:19:05.134
